A12,D61,19
A12,D62,11
A12,D8 ,83
A12,E11,12
A12,E12,7
A12,E21,6
A12,E31,74
A12,E32,13
A12,E41,2
A12,E42,3
A12,E51,59
A12,E52,34
A12,E61,9
A12,E62,1
A12,F11,6
A12,F12,346
A12,F21,1
A12,F31,10
A12,F32,18
A12,F41,22
A12,F42,5
A12,F51,7
A12,F52,8
A12,F61,8
A12,F62,4
A12,G31,32
A12,G51,12
A12,G61,3
A12,H11,1
A12,H12,32
A12,H31,7
A12,H32,13
A12,H41,5
A12,H52,1
A12,H61,8
A12,H62,4
A12,I11,60
A12,I12,132
A12,I21,1
A12,I31,73
A12,I32,36
A12,I41,98
A12,I42,57
A12,I51,26
A12,I52,13
A12,I61,31
A12,I62,19
A12,I8 ,41
A12,J11,50
A12,J12,365
A12,J31,48
A12,J32,195
A12,J41,5
A12,J42,69
A12,J51,3
A12,J52,48
A12,J61,11
A12,J62,51
A12,J8 ,7
A12,K11,36
A12,K12,39
A12,K31,54
A12,K32,5
A12,K51,1
A12,K61,14
A12,K62,3
A12,L11,55
A12,L12,189
A12,L31,29
A12,L32,18
A12,L41,23
A12,L42,23
A12,L51,10
A12,L52,7
A12,L61,42
A12,L62,8
A12,L8 ,37
A12,M  ,1394
A12,N  ,229
A12,O  ,75
A12,Oe ,8
A12,P  ,408
A12,Q  ,6
A12,R  ,1482
A12,S  ,1949
A12,Se ,950
A12,T  ,604
A12,U  ,25
A12,V11,24
A12,V12,451
A12,V31,28
A12,V32,45
A12,V41,47
A12,V42,23
A12,V51,10
A12,V52,16
A12,V61,89
A12,V62,71
A12,X  ,20
A12,snt,1120
A21,A11,108
A21,A12,38
A21,A21,426
A21,A22,10
A21,A31,156
A21,A32,135
A21,A41,150
A21,A42,76
A21,A51,30
A21,A52,28
A21,A61,113
A21,A62,46
A21,A71,2
A21,A8 ,2
A21,B1 ,172
A21,B11,278
A21,B2 ,5
A21,B21,228
A21,B3 ,20
A21,B31,56
A21,B7 ,14
A21,B71,90
A21,C11,62
A21,C12,15
A21,C21,257
A21,C31,48
A21,C32,48
A21,C41,42
A21,C42,1
A21,C51,8
A21,C52,5
A21,C61,44
A21,C62,10
A21,C8 ,1
A21,D  ,7
A21,D11,3
A21,D21,1
A21,D22,1
A21,D31,4
A21,D32,3
A21,D42,1
A21,D51,1
A21,D61,1
A21,D62,1
A21,D8 ,4
A21,E11,23
A21,E12,7
A21,E21,6
A21,E22,1
A21,E31,51
A21,E32,7
A21,E41,4
A21,E51,57
A21,E52,3
A21,E61,9
A21,E62,1
A21,F11,24
A21,F12,8
A21,F21,56
A21,F22,2
A21,F31,17
A21,F32,40
A21,F41,21
A21,F42,5
A21,F51,6
A21,F52,15
A21,F61,36
A21,F62,19
A21,G41,1
A21,G51,1
A21,H32,1
A21,I11,27
A21,I12,3
A21,I21,1
A21,I31,31
A21,I32,10
A21,I41,6
A21,I42,1
A21,I51,4
A21,I61,7
A21,I8 ,2
A21,J11,60
A21,J12,6
A21,J31,39
A21,J32,10
A21,J41,13
A21,J42,6
A21,J51,8
A21,J61,6
A21,J62,1
A21,J8 ,1
A21,K11,25
A21,K12,3
A21,K31,56
A21,K32,4
A21,K41,1
A21,K51,2
A21,K61,2
A21,K62,5
A21,K8 ,1
A21,L11,17
A21,L12,2
A21,L31,3
A21,L32,1
A21,L41,1
A21,L42,2
A21,L52,2
A21,L61,3
A21,L62,1
A21,L8 ,12
A21,M  ,198
A21,N  ,28
A21,O  ,60
A21,P  ,69
A21,Q  ,5
A21,R  ,135
A21,S  ,236
A21,Se ,34
A21,T  ,173
A21,U  ,64
A21,V11,18
A21,V12,5
A21,V21,23
A21,V31,12
A21,V32,13
A21,V41,6
A21,V51,5
A21,V52,2
A21,V61,7
A21,V62,7
A21,X  ,1
A21,snt,418
A22,#  ,3
A22,A11,26
A22,A12,4
A22,A21,7
A22,A22,40
A22,A31,44
A22,A32,37
A22,A41,49
A22,A42,20
A22,A51,4
A22,A52,4
A22,A61,33
A22,A62,6
A22,A71,1
A22,A8 ,1
A22,B1 ,62
A22,B11,83
A22,B2 ,1
A22,B21,87
A22,B3 ,9
A22,B31,13
A22,B7 ,3
A22,B71,25
A22,C11,17
A22,C12,9
A22,C21,5
A22,C22,150
A22,C31,17
A22,C32,12
A22,C41,5
A22,C51,1
A22,C52,3
A22,C61,12
A22,C62,6
A22,C8 ,1
A22,D  ,5
A22,D11,3
A22,D12,1
A22,D32,3
A22,D41,1
A22,D62,1
A22,E11,5
A22,E12,6
A22,E21,3
A22,E22,2
A22,E31,6
A22,E32,8
A22,E51,4
A22,E52,4
A22,E62,4
A22,F11,5
A22,F12,1
A22,F21,3
A22,F22,1
A22,F31,3
A22,F41,5
A22,F42,1
A22,F51,1
A22,F61,3
A22,H31,1
A22,I11,14
A22,I12,6
A22,I31,26
A22,I32,12
A22,I41,7
A22,I42,1
A22,I51,2
A22,I52,3
A22,I61,13
A22,I62,2
A22,I8 ,2
A22,J11,19
A22,J12,13
A22,J31,14
A22,J32,7
A22,J41,1
A22,J42,4
A22,J52,6
A22,J61,3
A22,J62,2
A22,J8 ,1
A22,K11,18
A22,K12,6
A22,K31,5
A22,K32,3
A22,K41,1
A22,K61,5
A22,L11,2
A22,L12,3
A22,L31,8
A22,L32,8
A22,L42,1
A22,L61,3
A22,L62,2
A22,L8 ,7
A22,M  ,101
A22,N  ,19
A22,O  ,12
A22,P  ,64
A22,R  ,84
A22,S  ,142
A22,Se ,45
A22,T  ,168
A22,U  ,4
A22,V11,11
A22,V12,2
A22,V21,1
A22,V22,262
A22,V31,7
A22,V32,1
A22,V41,2
A22,V51,1
A22,V52,2
A22,V61,1
A22,V62,2
A22,snt,135
A31,#  ,281
A31,A  ,1
A31,A11,2056
A31,A12,580
A31,A21,121
A31,A22,71
A31,A31,5292
A31,A32,1214
A31,A41,4628
A31,A42,1441
A31,A51,861
A31,A52,381
A31,A61,1621
A31,A62,684
A31,A71,47
A31,A8 ,43
A31,B1 ,7276
A31,B11,5391
A31,B2 ,246
A31,B21,509
A31,B3 ,2999
A31,B31,1748
A31,B7 ,1436
A31,B71,4995
A31,B8 ,28
A31,C11,751
A31,C12,287
A31,C21,21
A31,C22,8
A31,C31,3535
A31,C32,446
A31,C41,500
A31,C42,139
A31,C51,106
A31,C52,84
A31,C61,666
A31,C62,238
A31,C8 ,24
A31,D  ,123
A31,D11,44
A31,D12,22
A31,D21,1
A31,D31,247
A31,D32,57
A31,D41,25
A31,D42,18
A31,D51,3
A31,D52,11
A31,D61,45
A31,D62,23
A31,D8 ,54
A31,E11,107
A31,E12,32
A31,E21,8
A31,E22,2
A31,E31,182
A31,E32,26
A31,E41,25
A31,E42,13
A31,E51,320
A31,E52,75
A31,E61,46
A31,E62,5
A31,F11,20
A31,F12,21
A31,F21,1
A31,F22,9
A31,F31,1089
A31,F32,13
A31,F41,60
A31,F42,21
A31,F51,14
A31,F52,15
A31,F61,30
A31,F62,11
A31,G31,219
A31,G41,86
A31,G51,200
A31,G61,27
A31,H11,5
A31,H31,841
A31,H32,13
A31,H41,30
A31,H42,23
A31,H51,7
A31,H52,12
A31,H61,46
A31,H62,17
A31,I11,305
A31,I12,65
A31,I31,780
A31,I32,66
A31,I41,648
A31,I42,92
A31,I51,133
A31,I52,55
A31,I61,150
A31,I62,30
A31,I8 ,27
A31,J11,825
A31,J12,136
A31,J31,587
A31,J32,68
A31,J41,103
A31,J42,19
A31,J51,96
A31,J52,12
A31,J61,202
A31,J62,20
A31,K11,102
A31,K12,4
A31,K31,102
A31,K32,9
A31,K41,3
A31,K42,1
A31,K51,4
A31,K61,23
A31,K62,5
A31,K8 ,1
A31,L11,213
A31,L12,99
A31,L31,675
A31,L32,103
A31,L41,106
A31,L42,89
A31,L51,50
A31,L52,39
A31,L61,94
A31,L62,40
A31,L8 ,116
A31,M  ,3399
A31,N  ,770
A31,O  ,195
A31,Oe ,36
A31,P  ,1406
A31,Q  ,12
A31,R  ,4571
A31,S  ,5945
A31,Se ,2868
A31,T  ,1929
A31,U  ,62
A31,V  ,1
A31,V11,1009
A31,V12,396
A31,V21,6
A31,V22,5
A31,V31,988
A31,V32,285
A31,V41,427
A31,V42,107
A31,V51,143
A31,V52,122
A31,V61,417
A31,V62,261
A31,X  ,32
A31,snt,4656
A32,#  ,100
A32,A11,1546
A32,A12,557
A32,A21,113
A32,A22,48
A32,A31,1218
A32,A32,2362
A32,A41,2220
A32,A42,1346
A32,A51,471
A32,A52,362
A32,A61,1510
A32,A62,555
A32,A71,26
A32,A8 ,11
A32,B1 ,4241
A32,B11,4120
A32,B2 ,83
A32,B21,482
A32,B3 ,1444
A32,B31,1168
A32,B7 ,701
A32,B71,2783
A32,B8 ,9
A32,C11,775
A32,C12,219
A32,C21,34
A32,C22,8
A32,C31,334
A32,C32,2723
A32,C41,264
A32,C42,99
A32,C51,67
A32,C52,82
A32,C61,437
A32,C62,170
A32,C8 ,12
A32,D  ,120
A32,D11,55
A32,D12,17
A32,D31,21
A32,D32,328
A32,D41,12
A32,D42,14
A32,D51,2
A32,D52,8
A32,D61,20
A32,D62,12
A32,D8 ,331
A32,E11,64
A32,E12,16
A32,E21,7
A32,E22,3
A32,E31,93
A32,E32,19
A32,E41,1
A32,E42,2
A32,E51,136
A32,E52,40
A32,E61,25
A32,E62,2
A32,F11,22
A32,F12,6
A32,F21,2
A32,F31,8
A32,F32,624
A32,F41,34
A32,F42,16
A32,F51,8
A32,F52,10
A32,F61,27
A32,F62,16
A32,G31,102
A32,G51,70
A32,G61,18
A32,H11,1
A32,H31,1
A32,H32,486
A32,H41,12
A32,H42,17
A32,H51,1
A32,H52,10
A32,H61,15
A32,H62,15
A32,I11,255
A32,I12,49
A32,I31,117
A32,I32,217
A32,I41,212
A32,I42,92
A32,I51,49
A32,I52,25
A32,I61,72
A32,I62,17
A32,I8 ,50
A32,J11,190
A32,J12,394
A32,J31,52
A32,J32,366
A32,J41,10
A32,J42,77
A32,J51,14
A32,J52,57
A32,J61,27
A32,J62,128
A32,J8 ,11
A32,K11,63
A32,K12,6
A32,K31,54
A32,K32,40
A32,K41,2
A32,K51,2
A32,K61,15
A32,K62,5
A32,K8 ,8
A32,L11,140
A32,L12,62
A32,L31,72
A32,L32,382
A32,L41,42
A32,L42,44
A32,L51,23
A32,L52,10
A32,L61,59
A32,L62,17
A32,L8 ,46
A32,M  ,2256
A32,N  ,397
A32,O  ,114
A32,Oe ,12
A32,P  ,654
A32,Q  ,5
A32,R  ,2774
A32,S  ,4174
A32,Se ,2158
A32,T  ,1009
A32,U  ,50
A32,V11,615
A32,V12,222
A32,V21,4
A32,V22,1
A32,V31,275
A32,V32,791
A32,V41,163
A32,V42,86
A32,V51,84
A32,V52,59
A32,V61,262
A32,V62,139
A32,X  ,25
A32,snt,3235
A41,#  ,77
A41,A  ,4
A41,A11,3691
A41,A12,749
A41,A21,111
A41,A22,46
A41,A31,3737
A41,A32,1908
A41,A41,2641
A41,A42,342
A41,A51,298
A41,A52,220
A41,A61,3346
A41,A62,803
A41,A71,10
A41,A8 ,65
A41,B0 ,1
A41,B1 ,2506
A41,B11,1957
A41,B2 ,23
A41,B21,136
A41,B3 ,1001
A41,B31,614
A41,B7 ,387
A41,B71,1083
A41,B8 ,1
A41,B9 ,1
A41,C11,1025
A41,C12,254
A41,C21,35
A41,C22,3
A41,C31,522
A41,C32,381
A41,C41,2253
A41,C42,37
A41,C51,32
A41,C52,42
A41,C61,291
A41,C62,108
A41,C8 ,15
A41,D  ,46
A41,D11,67
A41,D12,20
A41,D21,1
A41,D31,19
A41,D32,23
A41,D41,42
A41,D42,2
A41,D51,1
A41,D52,3
A41,D61,15
A41,D62,10
A41,D8 ,43
A41,E11,39
A41,E12,7
A41,E21,3
A41,E22,2
A41,E31,66
A41,E32,5
A41,E41,2
A41,E42,1
A41,E51,63
A41,E52,18
A41,E61,16
A41,E62,6
A41,F11,14
A41,F12,2
A41,F31,3
A41,F32,4
A41,F41,762
A41,F42,4
A41,F51,3
A41,F52,5
A41,F61,10
A41,F62,2
A41,G31,54
A41,G41,1
A41,G51,26
A41,G61,8
A41,H31,13
A41,H32,11
A41,H41,504
A41,H42,2
A41,H52,2
A41,H61,9
A41,H62,8
A41,I11,245
A41,I12,29
A41,I31,124
A41,I32,42
A41,I41,282
A41,I42,22
A41,I51,19
A41,I52,11
A41,I61,52
A41,I62,10
A41,I8 ,12
A41,J11,428
A41,J12,93
A41,J31,234
A41,J32,59
A41,J41,60
A41,J42,22
A41,J51,39
A41,J52,10
A41,J61,81
A41,J62,14
A41,J8 ,1
A41,K11,90
A41,K12,4
A41,K31,59
A41,K32,5
A41,K41,4
A41,K51,2
A41,K61,15
A41,K62,1
A41,K8 ,1
A41,L11,132
A41,L12,46
A41,L31,115
A41,L32,40
A41,L41,76
A41,L42,24
A41,L51,16
A41,L52,12
A41,L61,31
A41,L62,14
A41,L8 ,91
A41,M  ,1423
A41,N  ,346
A41,O  ,112
A41,Oe ,18
A41,P  ,498
A41,Q  ,2
A41,R  ,1630
A41,Re ,1
A41,S  ,3115
A41,Se ,894
A41,T  ,728
A41,U  ,27
A41,V11,475
A41,V12,123
A41,V21,11
A41,V31,205
A41,V32,153
A41,V41,401
A41,V42,11
A41,V51,22
A41,V52,22
A41,V61,177
A41,V62,86
A41,X  ,11
A41,snt,1872
A42,#  ,43
A42,A11,1367
A42,A12,706
A42,A21,56
A42,A22,16
A42,A31,1163
A42,A32,1351
A42,A41,302
A42,A42,569
A42,A51,185
A42,A52,181
A42,A61,1543
A42,A62,623
A42,A71,10
A42,A8 ,6
A42,B1 ,880
A42,B11,701
A42,B2 ,6
A42,B21,32
A42,B3 ,363
A42,B31,174
A42,B7 ,136
A42,B71,492
A42,B9 ,1
A42,C11,394
A42,C12,171
A42,C21,32
A42,C22,3
A42,C31,157
A42,C32,203
A42,C41,30
A42,C42,611
A42,C51,15
A42,C52,16
A42,C61,155
A42,C62,78
A42,C8 ,7
A42,D  ,37
A42,D11,22
A42,D12,41
A42,D22,1
A42,D31,10
A42,D32,58
A42,D41,5
A42,D42,32
A42,D51,1
A42,D52,7
A42,D61,16
A42,D62,38
A42,D8 ,198
A42,E11,9
A42,E12,7
A42,E21,3
A42,E31,17
A42,E32,8
A42,E51,17
A42,E52,14
A42,E61,4
A42,F11,5
A42,F12,2
A42,F31,5
A42,F32,4
A42,F41,1
A42,F42,164
A42,F52,3
A42,F61,4
A42,G31,31
A42,G51,12
A42,G61,2
A42,H11,1
A42,H12,1
A42,H31,8
A42,H32,2
A42,H42,151
A42,H52,3
A42,H61,5
A42,H62,3
A42,I11,94
A42,I12,24
A42,I31,42
A42,I32,16
A42,I41,50
A42,I42,39
A42,I51,4
A42,I52,8
A42,I61,27
A42,I62,7
A42,I8 ,12
A42,J11,115
A42,J12,179
A42,J31,42
A42,J32,121
A42,J41,7
A42,J42,25
A42,J51,16
A42,J52,23
A42,J61,15
A42,J62,25
A42,J8 ,2
A42,K11,37
A42,K12,11
A42,K31,20
A42,K32,6
A42,K41,1
A42,K51,1
A42,K61,6
A42,L11,59
A42,L12,19
A42,L31,25
A42,L32,27
A42,L41,15
A42,L42,166
A42,L51,5
A42,L52,6
A42,L61,19
A42,L62,9
A42,L8 ,25
A42,M  ,700
A42,N  ,154
A42,O  ,34
A42,Oe ,5
A42,P  ,216
A42,Q  ,2
A42,R  ,812
A42,S  ,1507
A42,Se ,747
A42,T  ,264
A42,U  ,12
A42,V11,153
A42,V12,106
A42,V22,2
A42,V31,57
A42,V32,100
A42,V41,13
A42,V42,119
A42,V51,8
A42,V52,10
A42,V61,99
A42,V62,85
A42,snt,588
A51,#  ,43
A51,A11,899
A51,A12,141
A51,A21,36
A51,A22,21
A51,A31,727
A51,A32,337
A51,A41,357
A51,A42,159
A51,A51,1181
A51,A52,127
A51,A61,117
A51,A62,53
A51,A71,5
A51,A8 ,8
A51,B1 ,1424
A51,B11,922
A51,B2 ,20
A51,B21,99
