!   nombres.la,,,,,
!,,,,,
!This file is part of COLLATINVS.,,,,,
!COLLATINVS is free software; you can redistribute it and/or modify,,,,,
!it under the terms of the GNV General Public License as published by,,,,,
!the Free Software Foundation; either version 2 of the License, or,,,,
!(at your option) any later version.,,,,,
!,,,,,
!COLLATINVS is distributed in the hope that it will be useful,,,,,
!but WITHOVT ANY WARRANTY; without even the implied warranty of,,,,,
!MERCHANTABILITY or FITNESS FOR A PARTICVLAR PVRPOSE.  See the,,,,,
!GNV General Public License for more details.,,,,,
!,,,,,
!You should have received a copy of the GNV General Public License,,,,,
Adherbal,ADHERBAL N,28,,,
Adiabeni,ADIABENI N,4,,,
Adiabenus,ADIABENVS A,3,,,
Adimantus,ADIMANTVS N,1,,,
Admetus,ADMETVS N,5,,,
Adon,ADONIS N,1,,,
Adoneus,ADONEVS N,1,,,
Adonis,ADONIS N,4,,,
Adrana,ADRANA N,1,,,
Adrastus,ADRASTVS N,4,,,
Adriaticus,-HADRIATICVM N,1,,,
Adrumetum,HADRVMETVM N,2,,,
Aeacides,AEACIDES N,17,,,
!Aeacides,AEACIDES N-,2,,,
Aeacidinus,AEACIDINVS A,1,,,
Aeacus,AEACVS N,13,,,
!Aeacus,AEACVS N-,1,,,
Aeaeus,AEAEVS A,6,,,
Aebutius,AEBVTIVS N,36,,,
Aebutius2,AEBVTIVS A,1,,,
Aeduus2,AEDVVS A,1,,,
Aeetaeus,AEETAEVS A,1,,,
Aeetes,AEETES N,9,,,
Aeetine,AEETINE N,1,,,
Aefula,AEFVLA N,1,,,
Aegaeon,AEGAEVM N,1,,,
Aegaeum,AEGAEVM N,4,,,
Aegaeus,AEGAEVS A,19,,,
Aegeae,AEGEAE N,1,,,
Aegeates,AEGEATES N,1,,,
Aegeum,AEGEVS N,1,,,
Aegeus,-AEGEVS N,3,,,
Aegides,AEGIDES N,3,,,
Aegiensis,AEGIENSIS A,1,,,
Aegimurus,AEGIMVRVS N,1,,,
Aegina,AEGINA N,2,,,
Aeginium,AEGINIVM N,1,,,
Aegisthus,AEGISTHVS N,8,,,
Aegle,AEGLE N,3,,,
Aegon,AEGON N,3,,,
Aegritomarus,AEGRITOMARVS N,2,,,
Aegyptius,AEGYPTIVS A,18,,,
Aegyptius2,AEGYPTII N,18,,,
!Aelia,-AELIVS A,12,,,
Aelia,AELIA N,3,,,
Aelianus,-AELIANVS N,2,,,
Aelius,AELIVS N,16,,,
Aemilia,AEMILIA N,3,,,
!Aemilianus,-AEMILIANVS A,1,,,
Aemilianus,AEMILIANVS N,3,,,
Aemilius,AEMILIVS N,34,,,
Aemilius2,AEMILIVS A,6,,,
Aeneades,AENEADAE N,16,,,
Aeneas,AENEAS N,291,,,
Aeneius,AENEIVS A,5,,,
Aenides,AENIDES N,1,,,
Aeolia,AEOLIA N,3,,,
Aeolides,AEOLIDES N,5,,,
Aeolis,AEOLIS N,2,,,
Aeolius,AEOLIVS A,17,,,
Aeolus,AEOLVS N,10,,,
Aequi,AEQVI N,4,,,
Aequiculus,AEQVICVLVS A,2,,,
Aequimaelium,AEQVIMAELIVM N,1,,,
Aerias,AERIAS N,1,,,
Aeschines,AESCHINES N,8,,,
Aeschrio,AESCHRION N,10,,,
Aeschyleus,AESCHYLEVS A,1,,,
Aeschylus,AESCHYLVS N,3,,,
!Aeschylus,AESCHYLVS N-,1,,,
Aeserninus,AESERNINVS N,4,,,
Aesonides,AESONIDES N,6,,,
Aesonius,AESONIVS A,7,,,
Aesopeus,AESOPEVS A,1,,,
Aesopus,AESOPVS N,4,,,
Aestii,AESTII N,1,,,
Aethalos,AETHALVS N,1,,,
!Aethiope,AETHIOPES N,2,,,
!Aethiope,AETHIOPES N-,3,,,
Aethiopes,AETHIOPES N,7,,,
Aethiopia,AETHIOPIA N,2,,,
Aethiops,-AETHIOPS A,4,,,
Aethon,AETHON N,1,,,
Aetna,AETNA N,35,,,
Aetnaeus,AETNAEVS A,20,,,
Aetne,AETNA N,2,,,
Aetnenses,AETNENSES N,6,,,
Aetnensis,AETNENSIS A,6,,,
Aetolia,AETOLIA N,12,,,
Aetolis,AETOLIS N,1,,,
Aetolus,AETOLVS A,7,,,
Afer,AFER A,15,,,
Afer2,AFER N,11,,,
Afraniani,AFRANIANI N,6,,,
Afranianus,AFRANIANVS A,5,,,
Afranius,AFRANIVS N,57,,,
!Afranius,AFRANIVS N-,1,,,
Africa,AFRICA N,215,,,
!Africanus,-AFRICANA N,1,,,
Africanus,AFRICANVS A,12,,,
!Africanus2,AFRICANI N,1,,,
Africanus2,AFRICANVS N,106,,,
!Africus,-AFRICVS N,12,,,
Africus,AFRICVS A,10,,,
Agamemno,AGAMEMNON N,10,,,
Agamemnon,AGAMEMNON N,20,,,
!Agamemnon,AGAMEMNON N-,1,,,
Agamemnonides,AGAMEMNONIDES N,1,,,
Agamemnonius,AGAMEMNONIVS A,10,,,
Aganippe,AGANIPPE N,3,,,
!Agatho,AGATHO N,1,,,
Agatho,AGATHON N,3,,,
Agathocles,AGATHOCLES N,1,,,
Agathyrsi,AGATHYRSI N,2,,,
Agedincum,AGEDINCVM N,2,,,
!Agedincum,AGEDINCVM N-,3,,,
Agenor,AGENOR N,4,,,
Agenoreus,AGENOREVS A,1,,,
Agesilaus,AGESILAVS N,1,,,
Aggar,AGGAR N-,3,,,
Agis,AGIS N,3,,,
Agnalia,AGNALIA N,1,,,
Agonalis2,AGONALIS A,2,,,
Agonis,AGONIS N,4,,,
Agonius,-AGONIA N,1,,,
Agrianes,AGRIANES N,1,,,
Agricola2,AGRICOLA N,46,,,
Agrigentini,AGRIGENTINI N,16,,,
Agrigentinus,AGRIGENTINVS A,3,,,
Agrigentum,AGRIGENTVM N,8,,,
!Agrigentum,AGRIGENTVM N-,6,,,
Agrios,AGRIVS N,2,,,
Agrippa,AGRIPPA N,66,,,
Agrippina,AGRIPPINA N,127,,,
Agrippinus,AGRIPPINVS N,2,,,
Agro2,AGER N-,3,,,
Agyieus,AGYIEVS N,1,,,
Agyllini,AGYLLINI N,1,,,
Agyllinus,AGYLLINVS A,2,,,
!Agyrinensis,-AGYRINENSES N,12,,,
Agyrinensis,AGYRINENSIS A,11,,,
Agyrium,AGYRIVM N,3,,,
!Agyrium,AGYRIVM N-,1,,,
Ahala,AHALA N,8,,,
Ahenobarbus,AENOBARBVS N,1,,,
Ahenobarbus,AHENOBARBVS N,1,,,
Aiax,AIAX N,35,,,
Alauda2,ALAVDAE N,4,,,
Albana,ALBANA N,1,,,
Albani,ALBANI N,12,,,
Albanum,ALBANVM N,14,,,
Albanus,ALBANVS A,29,,,
Albianus,ALBIANVS A,2,,,
Albici,ALBICI N,6,,,
Albingaunum,ALBINGAVNVM N,1,,,
Albinouanus,ALBINOVANVS N,7,,,
Albintimilium,ALBINTIMILIVM N,1,,,
Albinus,ALBINVS N,23,,,
Albis,ALBIS N,1,,,
Albius,ALBIVS N,12,,,
Albruna,ALBRVNA N,1,,,
Albucius,ALBVCIVS N,10,,,
Albunea,ALBVNEA N,2,,,
Alburnus2,ALBVRNVS N,2,,,
Alcaeus,ALCAEVS N,5,,,
Alcander,ALCANDER N,1,,,
Alcanor,ALCANOR N,2,,,
Alcathous,ALCATHOVS N,2,,,
Alcibiades,ALCIBIADES N,3,,,
Alcides,ALCIDES N,120,,,
Alcimede,ALCIMEDE N,1,,,
Alcimedon,ALCIMEDON N,2,,,
Alcinous,ALCINOVS N,5,,,
Alcippe,ALCIPPE N,1,,,
Alcithoe,ALCITHOE N,1,,,
Alcmaeonius,ALCMAEONIVS A,1,,,
Alcmene,ALCMENA N,15,,,
Alcon,ALCON N,2,,,
Alcumena,ALCMENA N,27,,,
Alcumeus,ALCMAEVS N,1,,,
Alcyone,ALCYONE N,2,,,
!Alcyone,ALCYON  ,2,,,
Aleius,ALEIVS A,1,,,
Alesia,ALESIA N,14,,,
Aletes,ALETES N,3,,,
!Aletrinas,-ALETRINAS A-,2,,,
Aletrinas,ALETRINATES N,1,,,
Alexander,ALEXANDER N,326,,,
Alexandrea,ALEXANDREA N,2,,,
Alexandrea,ALEXANDRIA N,27,,,
Alexandria,ALEXANDRIA N,50,,,
Alexandrini,ALEXANDRINI N,33,,,
Alexandrinus,ALEXANDRINVS A,28,,,
Alexis,ALEXIS N,2,,,
Alfenus,ALFENVS N,32,,,
Alfius,ALFIVS N,3,,,
Algidus2,ALGIDVS A,1,,,
Alidensis,ALINDIENSIS A,1,,,
Alidensis,ELIDENSIS A,1,,,
Alienus3,ALIENVS N,2,,,
Alienus3,ALLIENVS N,4,,,
Alis2,ELIS N,16,,,
Allecto2,-ALLECTO N-,8,,,
Allia,ALLIA N,4,,,
Alliensis,ALLIENSIS A,1,,,
Allienus,ALLIENVS N,6,,,
Allifanus,ALLIFANVS A,3,,,
!Allobroges,-ALLOBROX A,2,,,
Allobroges,ALLOBROGES N,49,,,
!Allobrogicus,-ALLOBROGICI N,1,,,
!Allobrogicus,-ALLOBROGICVS N,1,,,
Allobrox,-ALLOBROX A,1,,,
!Allobrox,-ALLOBROX A-,1,,,
Almo,ALMO N,5,,,
Aloidae,ALOIDAE N,1,,,
Alpheos,ALPHEVS N,7,,,
Alphesiboea,ALPHESIBOEA N,1,,,
Alphesiboeus,ALPHESIBOEVS N,4,,,
Alpheus,ALPHEVS A,2,,,
!Alpinus,-ALPINIVS N,3,,,
Alpinus,ALPINVS A,5,,,
!Alpinus2,ALPINI N,1,,,
Alpinus2,ALPINVS N,2,,,
Alpis,ALPES N,70,,,
!Alpis,ALPIS N,1,,,
!Alsiensis,-ALSIENSE N,1,,,
Alsiensis,ALSIENSIS A,1,,,
Althaea2,ALTHAEA N,3,,,
Altinates,ALTINATES N,1,,,
Altinum,ALTINVS N,1,,,
Amalthea,AMALTHEA N,2,,,
Amanicae,-AMANICAE A,1,,,
Amantia,AMANTIA N,2,,,
Amantini,AMANTINI N,1,,,
Amanus,AMANVS N,2,,,
Amaryllis,AMARYLLIS N,5,,,
Amasenus,AMASENVS N,2,,,
Amastriacus,AMASTRIACVS A,1,,,
Amastriani,AMASTRIANI N,2,,,
Amastris,AMASTRIS N-,1,,,
Amata,AMATA N,7,,,
!Amathusia,-AMATHVSIVS A,2,,,
Amathusia,AMATHVSIA N,1,,,
Amazon,AMAZON N,11,,,
Amazonius,AMAZONIVS A,7,,,
Ambarri,AMBARRI N,2,,,
Ambiani,AMBIANI N,4,,,
Ambibarii,AMBIBARII N,1,,,
Ambiliati,AMBILIATI N,1,,,
Ambiorix,AMBIORIX N,34,,,
Ambiuareti,AMBIVARETI N,2,,,
Ambiuariti,AMBIVARETI N,1,,,
Ambiuius,AMBIVIVS N,2,,,
Ambracia,AMBRACIA N,4,,,
Ambraciotes,AMBRACIOTES N,1,,,
Ambracius,AMBRACIVS A,1,,,
Ambrosius3,AMBROSIVS N,1,,,
Amenanus,AMENANVS A,1,,,
Ameria,AMERIA N,15,,,
Amerinus,AMERINVS A,8,,,
!Amestratini,-AMESTRATINVS A,1,,,
Amestratini,AMESTRATINI N,3,,,
Amestratus,AMESTRATVS N-,1,,,
Aminneus,AMINNEVS A,2,,,
Amiseni,AMISENI N,3,,,
Amisia,AMISIA N,6,,,
Amiternus,AMITERNVS A,1,,,
Ammon2,AMMON N,1,,,
Ammoniacus,AMMONIACVS  ,1,,,
Amoebeus2,AMOEBEVS N,1,,,
Amor2,AMOR N,154,,,
Amphiaraus,AMPHIARAVS N,1,,,
Amphiareiades,AMPHIAREIADES N,1,,,
Amphiareus,AMPHIARAEVS A,1,,,
Amphilochia,AMPHILOCHIA N,1,,,
Amphilochus,AMPHILOCHVS N,1,,,
Amphion,AMPHION N,10,,,
Amphionius,AMPHIONIVS A,2,,,
Amphipolis,AMPHIPOLIS N-,2,,,
Amphitrite,AMPHITRITE N,2,,,
Amphitruo,AMPHITRYON N,64,,,
Amphitryon,AMPHITRYON N,2,,,
Amphitryoniades,AMPHITRYONIADES N,5,,,
Amphrysius,AMPHRYSIVS A,1,,,
Ampius,AMPIVS N,1,,,
Ampsanctus,AMPSANCTVS N,1,,,
Ampsiuarii,AMPSIVARII N,3,,,
Amulius,AMVLIVS N,3,,,
Amyclaeus,AMYCLAEVS A,5,,,
Amycle,AMYCLE N,1,,,
Amycus,AMYCVS N,5,,,
Amydon,AMYDON N,1,,,
Amymone,AMYMONE N,3,,,
Amyntas,AMYNTAS N,47,,,
Amyntiades,AMYNTIADES N,1,,,
Amyntor,AMYNTOR N,1,,,
Amyntorides,AMYNTORIDES N,2,,,
Amythaonius,AMYTHAONIVS A,3,,,
Anacharsis,ANACHARSIS N,1,,,
Anacreon,ANACREON N,2,,,
Anactorie,ANACTORIE N,1,,,
Anagnia,ANAGNIA N,3,,,
Anagnini,ANAGNINI N,2,,,
Anagninus,ANAGNINVS A,2,,,
Anapus,ANAPVS N,1,,,
Anartes,ANARTES N,1,,,
Anaxagoras,ANAXAGORAS N,2,,,
Anaxarchus,ANAXARCHVS N,1,,,
Ancaeus,ANCAEVS N,1,,,
Ancalites,ANCALITES N,1,,,
Ancharianus,ANCHARIANVS A,2,,,
Ancharius,ANCHARIVS N,6,,,
Anchemolus,ANCHEMOLVS N,2,,,
Anchises,ANCHISES N,54,,,
Anchiseus,ANCHISEVS A,1,,,
Anchisiades,ANCHISIADES N,4,,,
!Anchisiades,ANCHISIADES N-,2,,,
!Ancona,ANCON N-,1,,,
Ancona,ANCONA N,3,,,
Anconitanus,ANCONITANVS A,1,,,
Ancus,ANCVS N,7,,,
Ancyra,ANCYRA N,1,,,
Andania,ANDANIA N,1,,,
Andecaui,ANDECAVI N,1,,,
!Andecaui,ANDECAVI N-,1,,,
Andria,ANDRIA N,1,,,
Androgeoneus,ANDROGEONEVS A,1,,,
Androgeus,ANDROGEVS N,2,,,
!Androgeus,ANDROGEVS N-,3,,,
Andromache,ANDROMACHA N,23,,,
Andromache,ANDROMACHE N,1,,,
Andromede,ANDROMEDA N,7,,,
Andromede,ANDROMEDE N,1,,,
Andron2,ANDRON N,5,,,
Andronicus,ANDRONICVS N,1,,,
Andros,ANDRVS N,3,,,
Androsthenes,ANDROSTHENES N,1,,,
Anemuriensis,ANEMVRIENSIS A,1,,,
Angitia,ANGITIA N,1,,,
Anglii,ANGLII N,1,,,
Angriuarii,ANGRIVARII N,7,,,
Anicetus,ANICETVS N,8,,,
Anicianus,ANICIANVS A,1,,,
Anicius,ANICIVS N,4,,,
Anien,ANIEN N,4,,,
Aniensis,ANIENSIS A,1,,,
Anienus,ANIENVS A,5,,,
Anio,ANIO N,7,,,
Anius,ANIVS N,1,,,
Annaea,ANNAEA N,1,,,
Annaeus,ANNAEVS N,17,,,
Annia,ANNIA N,3,,,
Annianus,ANNIANVS A,1,,,
Annibal,HANNIBAL N,2,,,
Annicerii,ANNICERII N,1,,,
Annius,ANNIVS N,59,,,
Anquillaria,ANQVILLARIA N,1,,,
Anser2,ANSER N,1,,,
Antaeus,ANTAEVS N,10,,,
Anteius,ANTEIVS N,9,,,
Antemnae,ANTEMNAE N,1,,,
Antenor,ANTENOR N,6,,,
Antenorides,ANTENORIDAE N,1,,,
Antheus,ANTHEVS N,3,,,
Anthrax2,ANTHRAX N,1,,,
Antias,-ANTIAS A,1,,,
Anticyra,ANTICYRA N,5,,,
Antigenes,ANTIGENES N,2,,,
!Antigenes,ANTIGENES N-,1,,,
Antigone,ANTIGONE N,2,,,
Antigonus,ANTIGONVS N,13,,,
Antilochus,ANTILOCHVS N,5,,,
Antimachus,ANTIMACHVS N,3,,,
Antiochenses,ANTIOCHENSES N,5,,,
Antiochia,ANTIOCHIA N,5,,,
Antiochinus,ANTIOCHINVS A,1,,,
Antiochus,ANTIOCHVS N,42,,,
Antiope,ANTIOPA N,8,,,
Antipater,ANTIPATER N,25,,,
Antiphates,ANTIPHATES N,4,,,
Antisthenes,ANTISTHENES N,1,,,
Antistia,ANTISTIA N,1,,,
Antistius,ANTISTIVS N,25,,,
Antium,ANTIVM N,8,,,
!Antium,ANTIVM N-,1,,,
Antonia,ANTONIA N,13,,,
Antonianus,ANTONIANVS A,6,,,
Antoniaster,ANTONIASTER N,1,,,
Antoninus,ANTONINVS N,3,,,
Antonius,ANTONIVS N,517,,,
Antonius2,ANTONIVS A,1,,,
Anubis,ANVBIS N,3,,,
Anxur2,ANXVR N,2,,,
Anxurus,-ANXVRVS A,1,,,
Anytus,ANYTVS N,2,,,
Aonius,AONIVS A,14,,,
!Aonius,AONIVS A-,1,,,
Ap,APPIVS N,4,,,
Apamea,APAMEA N,2,,,
Apamensis,-APAMENSES N,1,,,
Apamenus,-APAMENI N,1,,,
Apelles,APELLES N,6,,,
Apelleus,APELLEVS A,1,,,
Apenninus,APENNINVS N,1,,,
Aper2,APER N,31,,,
Aphidnae,APHIDNAE N,1,,,
Aphrodisienses,APHRODISIENSES N,2,,,
Apicius2,APICIVS N,8,,,
Apidanus,APIDANVS N,1,,,
Apion,APION N,3,,,
!Apis2,APIDIVS N-,1,,,
Apis2,APIS N,1,,,
!Apis2,APIS N-,1,,,
Apollinaris,APOLLINARIS A,5,,,
Apollinaris3,APOLLINARIS N,4,,,
Apollineus,APOLLINEVS A,2,,,
Apollo,APOLLO N,122,,,
Apollodorus,APOLLODORVS N,7,,,
Apollonia,APOLLONIA N,17,,,
Apolloniates2,APOLLONIATES N,3,,,
!Apollonidenses,-APOLLONIDENSIS A,1,,,
Apollonidenses,APOLLONIDENSES N,4,,,
Apollonides,APOLLONIDES N,2,,,
Apolloniensis,APOLLONIENSIS A,4,,,
!Apollonis,APOLLONIDES N,1,,,
Apollonis,APOLLONIS N,2,,,
Apollonius,APOLLONIVS N,14,,,
Aponiana,APONIANA N,1,,,
Aponius,APONIVS N,12,,,
Appenninicola,APENNINICOLA N,1,,,
Appenninus,APENNINVS N,14,,,
Appenninus,APPENNINVS N,4,,,
Appia,APPIA N,2,,,
Appianus,APPIANVS N,1,,,
Appias,APPIAS N,3,,,
Appius,APPIVS A,16,,,
Appius2,APPIVS N,35,,,
!Appius2,APPVS N,1,,,
Appuleia,APPVLEIA N,2,,,
Appuleius,APPVLEIVS N,2,,,
Appuleius,APVLEIVS N,1,,,
Apr,-APRILIS A-,3,,,
!Aprilis,-APRILIS A,8,,,
!Aprilis,-APRILIS A-,4,,,
Aprilis,APRILIS N,2,,,
!Aprilis,APRILIS N-,1,,,
!Apronianus,-APRONIANVS N,1,,,
Apronianus,APRONIANVS A,3,,,
Apronius,APRONIVS N,164,,,
Apsus,APSVS N,4,,,
Apuleianus,APPVLEIANVS A,1,,,
Apuleius,APPVLEIVS N,4,,,
Apulia,APVLIA N,20,,,
!Apulus,-APVLA N,1,,,
Apulus,APVLVS A,16,,,
!Apulus,APVLVS A-,1,,,
Aquila2,AQVILA N,14,,,
Aquileia,AQVILEIA N,6,,,
Aquileiensis,AQVILEIENSIS A,1,,,
Aquilia,AQVILIA N,1,,,
Aquilianus,AQVILIANVS A,1,,,
Aquilius,AQVILIVS N,56,,,
Aquilius2,AQVILIVS A,4,,,
Aquilo2,AQVILO N,28,,,
Aquilonius2,AQVILONIVS A,1,,,
